time,user,tweet
2022-06-07 00:00:03+00:00,MovCiudadanoMX,Día 167. #DelRíoPresoPolítico https://t.co/5rSb12XoPg
2022-06-06 22:00:03+00:00,MovCiudadanoMX,"Morena dejó plantada la regulación del cannabis.  
Qué raro partido de izquierda, tan conservador. 🤨

Rola este dato, aquí #AndamosBienPuestxs para regular. 🍁👌 https://t.co/RweGMI81Ne"
2022-06-06 20:00:18+00:00,MovCiudadanoMX,"¡Let´s roll! 🛼🛹🚲 Ya sea en patines, patineta o bici, con la #LeyMovilidadSegura serán más bonitos y más seguros los paseos. 

La #BancadaNaranja trabaja para que tengas mejor movilidad en tu estado. 😎🧡 https://t.co/wQgE21MLIa"
2022-06-06 18:33:54+00:00,MovCiudadanoMX,"Pero no todas son malas noticias para las y los jóvenes 😉. Conoce las alternativas para construir un mejor futuro con Angélica Jasso de @jovenes_trabajo, Patricia Santamaría de @ollinorg, @Rocordera, @Daylin_GR y @Pablo_VAh en:
 
🔊: https://t.co/TfTstfH12W"
2022-06-06 18:33:53+00:00,MovCiudadanoMX,"Es muy difícil salir a buscar chamba cuando la educación no te garantiza encontrar algo chido. 🔉  
 
De esto hablamos en #PalabrasEnMovimiento con @Daylin_GR, representante ciudadana de Baja California. 👇    
 
🔊:https://t.co/TfTstfH12W https://t.co/i3lSPwrtb7"
2022-06-06 16:13:10+00:00,MovCiudadanoMX,"¡Ya viene el próximo diálogo por la #EvoluciónMexicana! 🙌🏼🧡

Será el lunes 13 de junio en Toluca y hablaremos sobre los derechos de las y los trabajadores porque el Futuro es con Justicia Social. ⚖️ 

Será presencial y en línea. Regístrate. 👇
https://t.co/QlnUghF5Wy https://t.co/GC8uXZIcrx"
2022-06-06 14:13:10+00:00,MovCiudadanoMX,"Un verdadero descaro, el Gobierno federal le dio más poder al Ejército y también la posibilidad de ocultar información del #TrenMaya. 

El proyecto no es viable y tampoco es transparente. 
Por eso le decimos NO. https://t.co/AKh8f5quqU"
2022-06-06 03:36:16+00:00,MovCiudadanoMX,"""...Movimiento Ciudadano está preparado y va a trabajar como opción electoral para este país en los procesos electorales de 2023."" #ElFuturoEsNaranja 4/4"
2022-06-06 03:36:16+00:00,MovCiudadanoMX,"""...En el 2016, Morena tenía menor presencia política que la que tiene nuestro Movimiento en 2022. Es por ello que las condiciones están dadas para que Movimiento Ciudadano impulse el proyecto que habrá de transformar a México..."" 3/4"
2022-06-06 03:36:15+00:00,MovCiudadanoMX,"Como bien lo dice @DanteDelgado: ""Las cifras de 2016 y 2021 demuestran un decrecimiento constante en la votación por los partidos que conforman la alianza Va Por México. Por otro lado, es notable el ascenso de Movimiento Ciudadano..."" 2/4"
