user,tweet
AccionNacional,"¡Lo hicimos, Durango! El municipio sigue pintándose de azul y @josejoseantonio trabajará incansablemente por un gobierno cercano a la gente, que continúe dando resultados y mejore la calidad de vida de las familias👏🏼 https://t.co/XEYD1XdXQr"
AccionNacional,"¡Ganamos Durango con @EVillegasV!

Gracias a las y los duranguenses por su confianza, trabajaremos juntos para que continúen los buenos resultados y el crecimiento en el estado.

#EstebanGobernador https://t.co/j5HikIlkMv"
AccionNacional,"¡Muchas felicidades @TereJimenezE por tu triunfo contundente! Eres un orgullo para todo el panismo y estamos seguros te convertirás en la mejor gobernadora de Aguascalientes.

#TereGobernadora https://t.co/5kuBaOMfWE"
AccionNacional,"RT @TereJimenezE: ¡Hoy ganaron las propuestas y la unidad! ¡Hoy ganó Aguascalientes!

¡GRACIAS! https://t.co/NzYv7dsqYb"
AccionNacional,"RT @EVillegasV: ¡Durango ganó con valor! Simplemente, ¡gracias a las y los duranguenses que me han otorgado su confianza! Hoy comienza el g…"
AccionNacional,"RT @josejoseantonio: Con la reserva de los resultados oficiales, todas las encuestas de salida nos marcan como ganadores de la contienda. ¡…"
AccionNacional,"Lamentamos profundamente el fallecimiento de nuestra diputada federal Alma Rosa Hernández Escobar. Nuestro más sentido pésame y un fuerte abrazo a sus seres queridos.

Descanse en paz. https://t.co/PbfrM8fEJd"
AccionNacional,"¡Ganamos contundentemente Aguascalientes y Durango, y vamos arriba en Tamaulipas!

Hoy queda claro que vamos en el camino correcto, seguimos avanzando y #SíHayTiro2024. https://t.co/lgDGvyVZ93"
AccionNacional,"RT @JorgeRoHe: Hoy las y los ciudadanos dieron su confianza a los buenos gobiernos de @AccionNacional

¡Vencimos el intento fallido de elec…"
AccionNacional,"RT @MarkoCortes: Hoy quedó claro que a pesar de toda la ilegalidad y autoritarismo del Gobierno federal y Morena, avanzamos para en el 2024…"
AccionNacional,"RT @TrucoVerastegui: Ejercí mi derecho al voto, cumpliendo con el deber que tenemos como ciudadanos para ser parte de la toma de decisiones…"
AccionNacional,"RT @TereJimenezE: Acudí de manera responsable a emitir mi voto para la Gubernatura de Aguascalientes. 

Como ciudadanos es nuestro derecho…"
AccionNacional,RT @LauFdzOficial: Con mucha alegría y en familia salimos a ejercer nuestro derecho al voto 🗳️ pensando en el futuro de #QuintanaRoo. Hoy e…
AccionNacional,"RT @caroviggiano: La de hoy debe ser una jornada cívica ejemplar, una verdadera fiesta democrática en la que las y los hidalguenses ejerzam…"
AccionNacional,"RT @josejoseantonio: Acudí a ejercer mi derecho ciudadano de votar. Ustedes tampoco dejen pasar la oportunidad de participar, votando de ma…"
AccionNacional,"RT @EVillegasV: ¡Yo ya ejercí mi derecho a votar como ciudadano! 👍🏻 De la misma forma, los invito a que salgan a hacerlo con responsabilida…"
AccionNacional,Le exigimos al gobierno federal y al gobernador de Michoacán @ARBedolla que no intervengan en las elecciones de Aguascalientes; que atienda mejor los graves temas de seguridad en su estado en lugar de encabezar “mapaches” electorales. @GobMichoacan https://t.co/dSvCwMj738
AccionNacional,"Condenamos las revelaciones del ex titular de la Unidad de Inteligencia Financiera, que dejan en evidencia que el gobierno de @lopezobrador_ usó y abusó de las instituciones del Estado para amedrentar y perseguir al gobernador de Tamaulipas. https://t.co/TMkRfd2QBv"
AccionNacional,"Hoy se cumplen 100 días de la invasión de Rusia a Ucrania, y a pesar de que la comunidad internacional ha reaccionado, el sufrimiento del pueblo ucraniano tiene que acabar.

Desde @AccionNacional seguimos manifestando toda nuestra solidaridad a Ucrania y su gente.

#SlavaUkraini"
AccionNacional,"RT @TereJimenezE: ¡¡Gracias Aguascalientes!!

#TereJiménez 
#TereGobernadora 
#LoQueTantoQueremos https://t.co/EEtbuHargP"
AccionNacional,"RT @TrucoVerastegui: Hoy es el último día de campaña, gracias por acompañarme durante estos 60 días. Nos quedan 4 días para que votemos con…"
AccionNacional,RT @EVillegasV: Quiero que todo Durango sienta el orgullo por su tierra y por quienes aquí vivimos. No me queda más que agradecer a todos y…
AccionNacional,RT @LauFdzOficial: Durante 60 días hemos hecho una campaña valiente y de cerca con cada uno de ustedes. Gracias por tanto cariño y respaldo…
AccionNacional,RT @caroviggiano: 60 días para sembrar la semilla de un #HidALGOMUCHOMEJOR. Y este domingo 5 de junio vamos a hacer posible 6 años de traba…
AccionNacional,"RT @MarkoCortes: ¡Estamos listos para la batalla del 5 de junio!

Tenemos a las y los mejores candidatos, un proyecto que sí da resultados,…"
AccionNacional,"Tenemos proyecto, tenemos equipo, y a las y los mejores candidatos.

Este 5 de junio, ¡vamos a ganar!

#VotaPAN https://t.co/fE67zEKQQM"
AccionNacional,"RT @STaboadaMx: ¡En @AccionNacional vamos juntos con el próximo gobernador de #Tamaulipas, @TrucoVerastegui! ¡En equipo @kenialopezr, @Lill…"
AccionNacional,"RT @sarainunezceron: Este próximo 5 de junio #DefendamosAMéxico en #Aguascalientes, #Tamaulipas, #Hidalgo, #QuintanaRoo, #Oaxaca y #Durango…"
AccionNacional,"RT @AbnerBorjaF: Nos queda la batalla final, el 5 de junio es cuando debemos salir todos a votar y elegir la mejor opción, elegir al Partid…"
AccionNacional,"RT @maguifisher: Tenemos a los mejores candidatos y propuestas, con entusiasmo y alegría este 5 de junio #VotaPAN 
 
@TereJimenezE
@TrucoVe…"
AccionNacional,"RT @marianagc: Este 5 de junio vota por las candidatas y los candidatos de @AccionNacional 

💙 #VotaPAN 

@TereJimenezE @EVillegasV @carovi…"
AccionNacional,RT @PaulinaRubioFdz: MÉXICO nos necesita y necesita tu voto este domingo #VotaPAN. Con hechos siempre hemos demostrado que los gobiernos de…
AccionNacional,"RT @AnabeyGarciaV: Este 5 de Junio #VotaPAN 💙
#UnidosDefendemosaMéxico 💪 https://t.co/d65CLPOiVn"
AccionNacional,"RT @LuisCantuMx: Este gran cierre de campaña en #Tampico demuestra que el 5 de junio, @TrucoVerastegui ganará porque tiene las mejores prop…"
AccionNacional,"RT @CarlosMadrazoL: Por una Patria ordenada y generosa y una vida mejor y más digna para todos, este domingo:

#VotaPAN! 🔵⚪️ https://t.co/0…"
AccionNacional,"RT @teresacastellmx: Fuera los NARCOMORENOS, los mexicanos no abrazamos delincuentes!!

#SalAVotar 
#SalvaAMéxico 
#VotaPAN https://t.co/sJ…"
AccionNacional,"RT @KathiaBolio: Tenemos a las y los mejores candidatos, este 5 de junio para seguir teniendo buenos gobiernos estatales, #VotaPAN 🗳 en #Ag…"
AccionNacional,RT @AgsMoniBecerra: Este próximo 5 de junio #VotaPAN https://t.co/7TB8gL4tL6
AccionNacional,"RT @SoyRocioReza: El próximo domingo se trata del preámbulo del país que queremos para el 2024, por eso debemos defender con todo a nuestro…"
AccionNacional,"RT @ErandiBermudez: ¿Quieres defender a México?
¿Recuperar las estancias infantiles?
¿Más apoyo al campo?
¿Estímulos a MiPyMEs?
¿Mejor sist…"
AccionNacional,"RT @LuisCantuMx: Este 5 de junio #VotaPAN, a demostrar que la unidad, el compromiso y el interés por un país próspero y con gobiernos que s…"
AccionNacional,"RT @JavierLuevanoN: Hoy estamos de fiesta, celebramos el cierre de una gran campaña donde imperó la propuesta, la razón y el respeto de la…"
AccionNacional,"RT @godinez_enrique: Este 5 de junio #VotaPAN por un #México mejor.
¡Contamos contigo! 💙 https://t.co/hrPwVN0UXN"
AccionNacional,"RT @Paulomartinezl: Con el ejército azul unido y fuerte, con las y los mejores candidatos, y el compromiso de seguir siendo ejemplo de buen…"
AccionNacional,"RT @ItzelBalderasH: En @AccionNacional nuestra prioridad es la salud, economía y tranquilidad de las familias mexicanas. 🇲🇽💪🏻Este 5 de juni…"
AccionNacional,"RT @marianagc: Ninguna persona conoce y ha trabajado por #Aguascalientes como @TereJimenezE. 

Las y los hidrocálidos ya decidieron y este…"
AccionNacional,RT @CeciliaPatronL: 🔵 Este 5 de junio está claro ¡VAMOS A PINTAR MÉXICO 🇲🇽 DE AZUL! Para darle los mejores gobiernos humanistas a las famil…
AccionNacional,"RT @JorgeRoHe: El domingo #5deJunio elige a quienes SI quieren el desarrollo y la seguridad para ti y tu familia.
✔️@TereJimenezE #Aguascal…"
AccionNacional,"RT @JosefinaVM: ¡Llegó la hora!

Este 5 de junio hay elecciones en #Aguascalientes, #Durango, #Hidalgo, #Oaxaca, #QuintanaRoo y #Tamaulipas…"
AccionNacional,"RT @VeronicaRdzSLP: En Tamaulipas @AccionNacional tiene un hombre capaz y preparado para llevar las riendas de su Estado, alguien que conoc…"
AccionNacional,RT @XavierAzuaraSLP: En #Hidalgo no hay duda que habrá una mujer preparada y comprometida para llevar el timón en el Estado. ¡Llegó #LaHora…
AccionNacional,"RT @maturinoc: El domingo veremos materializada la gran campaña realizada por @josejoseantonio y @EVillegasV.

La ciudadanía está convencid…"
AccionNacional,"RT @PEPE_BAEZ: Vota libre 
#VotaPAN https://t.co/aQBT2ZNMMM"
AccionNacional,"RT @Miguel_Monraz: Este 5 de junio #VotaPAN
vota por defender a México. https://t.co/BgRk0Hvb4a"
AccionNacional,"RT @iloyolavera: MÉXICO ESTÁ EN RIESGO

Hoy no es por un partido, #EsPorMéxico🇲🇽

Sólo tienes que preguntarle a quienes viven en estados go…"
AccionNacional,RT @MxIvanRodriguez: #QuintanaRoo será bien gobernado por @LauFdzOficial; así lo pudimos constatar legisladoras y legisladores federales de…
AccionNacional,"RT @ferdoval: Este domingo es clave para que en Aguascalientes, Oaxaca, Tamaulipas, Durango, Hidalgo y Quintana Roo haya un buen gobierno,…"
AccionNacional,RT @NoemiLuna_Zac: Hay 6 Estados de la República que tiene la oportunidad de demostrar que Sí hay de otra !! #VotaPAN https://t.co/fFaaExFD…
AccionNacional,"Con el ejército azul unido y fuerte, con las y los mejores candidatos, y el compromiso de seguir siendo ejemplo de buenos gobiernos, este 5 de junio vamos con todo a ganar con @TereJimenezE, @TrucoVerastegui, @EVillegasV, @LauFdzOficial, @caroviggiano y @NatyDiazPAN🔵⚪

#VotaPAN https://t.co/l0N1VvJN8x"
AccionNacional,"Hoy, en el cierre de campañas de Tamaulipas, podemos decir que estamos arriba en las encuestas y que vamos a ganar este domingo con @TrucoVerastegui. Tenemos el equipo completo para defender al estado y el voto de cada una y cada uno de los tamaulipecos.

#DefendamosTamaulipas https://t.co/WCix3OPWDP"
AccionNacional,"Queremos un mejor país para las familias mexicanas y juntos podemos lograrlo.

Este 5 de junio, vota por las y los mejores candidatos, #VotaPAN. https://t.co/k3mnuyfYAv"
AccionNacional,"Ya sabes que hacer, pintemos Aguascalientes, Durango, Tamaulipas, Quintana Roo, Hidalgo y Oaxaca de azul🔵⚪

#VotaPAN https://t.co/5S014zLk8J"
AccionNacional,"Por ti y tu familia, vamos juntos a defender México.

#VotaPAN https://t.co/VBmCm5cwKZ"
AccionNacional,"Con paso firme, vamos a construir un mejor México para todas y todos.

El próximo 5 de junio, #VotaPAN. https://t.co/cY2LOYXTPw"
AccionNacional,"Nuestro total reconocimiento a las mujeres y hombres que conforman la @SEMAR_mx, por su compromiso y valentía para salvaguardar siempre a nuestra nación🇲🇽.

#DíaDeLaMarina https://t.co/JwN4d9OA9O"
AccionNacional,"RT @TereJimenezE: CIERRE DE CAMPAÑA EN EL SURORIENTE DE LA CIUDAD 

Me dio mucho gusto saludarlos y tener la oportunidad de agradecerles de…"
AccionNacional,"RT @TrucoVerastegui: Defendamos a Victoria, votando este 5 de Junio por la Coalición #VaPorTamaulipas para recuperar juntos la belleza y la…"
AccionNacional,"RT @josejoseantonio: Los jóvenes duranguenses fueron el gran motor de esta campaña. Hoy, a un día de finalizar, el #Team8A y yo, estamos má…"
AccionNacional,"RT @EVillegasV: ¡A Gómez Palacio se le llegó la hora y le vamos a regresar el brillo de la mano de mi amiga, @LetyHerreraAle, próxima presi…"
AccionNacional,"RT @caroviggiano: La cercanía con las personas será una constante en mi gobierno. Hoy visité a Celia Martínez y Julia, quienes tienen mucho…"
AccionNacional,"RT @LauFdzOficial: Este domingo 5 de junio vota por un gobierno 100% quintanarroense, cercano y que siempre nos tienda la mano para #Mejora…"
AccionNacional,"¡Vamos juntos por un México azul, con gobiernos que sí den resultados!

El 5 de junio, #VotaPAN. https://t.co/vKQt5Yv6kN"
AccionNacional,"Con la fuerza de las y los duranguenses, seguiremos defendiendo y pintando de azul Durango.

Este 5 de junio, #VotaPAN para que continúen los avances, los logros y construyamos un mejor futuro para todas y todos con @josejoseantonio en la presidencia municipal.
#OrgulloXDurango https://t.co/t5z0tip4x8"
AccionNacional,"¡Este 5 de junio #VotaPAN para construir juntos #LoQueTantoQueremos para Aguscalientes con @TereJimenezE!

#TereGobernadora https://t.co/4F51cjhNYU"
AccionNacional,"Presentamos una denuncia contra @Claudiashein y @Nora_Ruvalcaba por presuntos delitos electorales, como el uso de programas sociales, triangulación de recursos públicos y movilización de estructuras de otros estados, en favor de la candidata.
https://t.co/obhNLCSt9j"
AccionNacional,"Por un mejor México para ti y tu familia, el próximo domingo #VotaPAN. https://t.co/fHBLAGOhqr"
AccionNacional,"No hay duda, ¡vamos a ganar y seguiremos pintando México de azul!

El 5 de junio, #VotaPAN https://t.co/Y2RW3ku4wQ"
AccionNacional,"RT @GOAN_MX: CONFIANZA = INVERSIONES + EMPLEOS

En Alemania, @MauVila     
firma carta de intención para crear hasta 1,000 nuevos empleos e…"
AccionNacional,"El futuro de Tamaulipas está en tus manos, el 5 de junio vamos a defender lo logrado y lo avanzado en el estado con @TrucoVerastegui.

#DefendamosTamaulipas
#VotaPAN https://t.co/9iilfLLfxG"
AccionNacional,"¡Ya falta poco!
Este 5 de junio, #VotaPAN para defender a México. https://t.co/sgqcefK3gc"
AccionNacional,"Tenemos el mejor proyecto con los mejores candidatos. El 5 de junio, vamos a lograr grandes resultados para ti y tu familia.

#VotaPAN https://t.co/t611DV8Z86"
AccionNacional,"Este 5 de junio, juntos defenderemos a México.

¡Vamos con todo!
#VotaPAN https://t.co/BevF5M7u4t"
AccionNacional,"En equipo, lograremos un #HidALGOMUCHOMEJOR.

Estamos listos, ¡lo mejor está por venir para el estado con @caroviggiano!

#LlegóLaHora
#CaroGobernadora 
#VotaPAN https://t.co/hM64vvITMB"
AccionNacional,"RT @GOAN_MX: En #Chihuahua se exporta calidad de clase mundial

Genera el 13% de las exportaciones en México y es líder en su valor: más de…"
AccionNacional,"Tenemos a las y los mejores candidatos, los mejores proyectos y las mejores propuestas para las familias.

No hay duda, el 5 de junio vamos a ganar.

#VotaPAN https://t.co/Hk9bhq5JPy"
AccionNacional,".@NatyDiazPAN representa el cambio verdadero para Oaxaca, con generación de oportunidades, empleos, desarrollo y bienestar para las familias.

El 5 de junio, #VotaPAN.
#FuerzaYPalabraDeMujer https://t.co/Tso5gXaaWV"
AccionNacional,"RT @EVillegasV: No tengo duda que @josejoseantonio, será el próximo y un gran presidente municipal. Seremos aliados para trazar la ruta de…"
AccionNacional,"RT @josejoseantonio: ¡Los colores no nos dividieron, nos unieron, nos hicieron más fuertes, más decididos; nos han convertido en una sola f…"
AccionNacional,"Ante miles de duranguenses, culminamos la campaña en Durango y en una semana ganaremos con @EVillegasV y @josejoseantonio la gubernatura y la presidencia municipal, con el compromiso de trabajar por más resultados y oportunidades para las familias.

#DefendamosDurango https://t.co/Ws04VUP4Nt"
AccionNacional,"¡Durango ya decidió! El próximo domingo las y los duranguenses reafirmarán su compromiso de continuar generando desarrollo y crecimiento para el estado con @EVillegasV.

#DefendamosDurango #ConTrabajoYValor https://t.co/syhBz4BpUl"
AccionNacional,"¡Vamos con todo por un mejor Durango, con más seguridad y bienestar para tu familia, con mayores oportunidades en el municipio y donde continúen los buenos resultados!

El 5 de junio, #VaPorDurango con @josejoseantonio.

#VotaToño8a https://t.co/E1Y0odccna"
