time,user,tweet
2022-06-06 23:30:00+00:00,partidoverdemex,"Estas son las #3DelVerde en el Senado #LoDestacadoDeLaSemana por parte de nuestros legisladores, sobre:

Medio Ambiente 🌳
Desarrollo 🌎
Salud 🚬

@VerdeSenadoMex @RaulBCCue @alelagunes @BenavidesCobos https://t.co/Zet8nY3LQ6"
2022-06-06 20:00:00+00:00,partidoverdemex,"Reconocemos la gran labor de la @CNDH en estos 32 años de hacer valer y proteger los derechos de las y los mexicanos. 

#SerVerdeEs seguir luchando por un México con justicia. https://t.co/mRIOGB0fnO"
2022-06-06 17:06:02+00:00,partidoverdemex,"Conoce #LoDestacadoDeLaSemana en las #3DelVerde de la Cámara de Diputados, sobre:

-Derechos Laborales 🧑‍💼
-Migración 🇲🇽
-Salud 🏥

@DiputadosVerdes @YamileSalomonD @RocioCoronaNkm https://t.co/odYB4GglP9"
2022-06-06 03:43:01+00:00,partidoverdemex,RT @karencastrejont: Hoy se confirmó lo que he dicho desde hace unos meses; Quintana Roo tiene ya a su primera gobernadora. El triunfo de @…
2022-06-06 03:28:36+00:00,partidoverdemex,"RT @karencastrejont: El gobierno del Dr. @Dr_AVillarreal será Verde, por que el pueblo decidió tener un Tamaulipas sustentable 

El trabajo…"
2022-06-06 03:05:00+00:00,partidoverdemex,"RT @karencastrejont: El llamado ciudadano se hizo presente, el pueblo de México alzó su voz de cambio y refrendó su confianza a la transfor…"
2022-06-05 17:08:05+00:00,partidoverdemex,"Revertir el daño que tanto se ha hecho al planeta, sí es posible. 

#SerVerdeEs mejorar hábitos, hacer un uso eficiente y sostenible de los recursos naturales, evitar la contaminación y proteger a todos los seres vivos. 

#UnaSolaTierra #DíaMundialDelMedioAmbiente https://t.co/aDIV4RQw4q"
2022-06-04 20:20:23+00:00,partidoverdemex,"¿Sabías que los aerosoles están entre los mayores contaminantes y causantes del daño a la capa de ozono?

#SerVerdeEs buscar alternativas amigables con el medio ambiente. https://t.co/FamZeaz3Nc"
2022-06-04 17:33:23+00:00,partidoverdemex,"Es momento de asumir hábitos y conductas más amigables con nuestro entorno para lograr disminuir la crisis ambiental que actualmente vivimos: @karencastrejont

https://t.co/mTPVURJSnU"
2022-06-03 16:10:26+00:00,partidoverdemex,"La bicicleta es una de las mejores alternativas de transporte porque, además de generar beneficios para la salud, es amigable con el medio ambiente. 
#SerVerdeEs moverse en bici 

¿Y tú, cómo te mueves? #DíaMundialDeLaBicicleta https://t.co/SIo1fukUQF"
2022-06-02 17:45:00+00:00,partidoverdemex,"Enviamos una gran felicitación y un fuerte abrazo al Senador y Vicecoordonador de Bancada @RaulBCCue con motivo de su cumpleaños.

Que vengan muchos años más trabajando por un México Verde. ¡Enhorabuena! https://t.co/mC84vOJvOD"
2022-06-02 04:45:05+00:00,partidoverdemex,RT @karencastrejont: La candidatura común con el @Dr_AVillarreal tiene un punto de encuentro con el @partidoverdemex queremos un Tamaulipas…
2022-06-01 18:45:27+00:00,partidoverdemex,"🛥️ En este #DíaDeLaMarina, reconocemos la labor de quienes han velado y velan por la seguridad en las costas y los mares de nuestro país. https://t.co/nvra0dnThG"
2022-06-01 03:24:58+00:00,partidoverdemex,RT @karencastrejont: El candidato @salomonj unió como nadie a la ciudadanía en su proyecto de gobierno. El @partidoverdemex acompañó con éx…
2022-05-31 04:19:04+00:00,partidoverdemex,RT @karencastrejont: Con @MaraLezama Quintana Roo inicia una nueva historia. El amor que tiene a su pueblo y el cariño que la ciudadanía le…
2022-05-31 00:40:49+00:00,partidoverdemex,"Estas son las #3DelVerde en el Senado #LoDestacadoDeLaSemana por parte de nuestros legisladores, sobre:

Medio Ambiente 🔋
desarrollo 🇲🇽
Juventud 🌎

@VerdeSenadoMex  @IsraelZamora_ @RaulBCCue https://t.co/0KL7WqITPZ"
2022-05-30 18:32:18+00:00,partidoverdemex,"Conoce #LoDestacadoDeLaSemana en las #3DelVerde de la Cámara de Diputados, sobre:

-Salud 🍎
-Desarrollo 🚗
-Inclusión 👨‍🦽

@DiputadosVerdes @RamirezRAntonio @ArturoG_BC @JasminBugarin https://t.co/vaFfFo74sF"
2022-05-25 18:21:38+00:00,partidoverdemex,"¡Feliz cumpleaños Dip. @FatimaCruzPelae! 🎉

Sigamos caminando hacia un mejor país. ¡Enhorabuena! https://t.co/tHQLs65CZs"
2022-05-24 20:51:23+00:00,partidoverdemex,RT @VerdeSenadoMex: Vamos a proteger y a cuidar a la @Conabio desde nuestro espacio en el @senadomexicano: @RaulBCCue https://t.co/Oapd1wcX…
2022-05-24 00:10:51+00:00,partidoverdemex,"Estas son las #3DelVerde en el Senado #LoDestacadoDeLaSemana por parte de nuestros legisladores, sobre:

Desarrollo 🌐
Bienestar 🇲🇽
Igualdad 🏳️‍🌈

@VerdeSenadoMex  @alelagunes https://t.co/7Ay4SmaViI"
2022-05-23 17:57:18+00:00,partidoverdemex,"Conoce #LoDestacadoDeLaSemana en las #3DelVerde de la Cámara de Diputados, sobre:

-Salud 🚬
-Bienestar 🏥
-Desarrollo 🇲🇽

@DiputadosVerdes @RocioCoronaNkm #KevinAguilar @NataleGutierrez https://t.co/YGkysKVLw4"
2022-05-17 00:36:06+00:00,partidoverdemex,"Estas son las #3DelVerde en el Senado #LoDestacadoDeLaSemana por parte de nuestros legisladores, sobre:

Seguridad 🚔
Bienestar 🇲🇽
Salud 🏥

@VerdeSenadoMex  @alelagunes @BenavidesCobos  @IsraelZamora_ https://t.co/tlypWmjTCi"
2022-05-16 19:21:08+00:00,partidoverdemex,"Conoce #LoDestacadoDeLaSemana en las #3DelVerde de la Cámara de Diputados, sobre:

-Derechos laborales 👷‍♂️
-Salud 🏥
-Educación 🎒

@DiputadosVerdes @CarlosPuenteZAC @ArturoG_BC https://t.co/h5I0cwQK8D"
2022-05-15 22:49:47+00:00,partidoverdemex,"Nuestro reconocimiento y agradecimiento a todas y todos los maestros en su día. 
Gracias por su gran labor y vocación al apoyar la educación de millones de mexicanos.

¡Feliz #DíaDelMaestro! https://t.co/dGlGotwXay"
2022-05-15 16:42:31+00:00,partidoverdemex,"Crear lazos familiares saludables contribuye al bienestar y la armonía social. 

Feliz #DíaDeLasFamilias https://t.co/aTpaXueQwD"
2022-05-14 19:03:04+00:00,partidoverdemex,"¿Sabías qué México es el país que alberga más aves migratorias en latinoamérica?

#SerVerdeEs protegerlas de la extinción. https://t.co/UmlTf3gCZW"
2022-05-13 16:58:44+00:00,partidoverdemex,"💚 No desechemos la oportunidad de actuar por un México más Verde.

#SerVerde es actuar hoy. https://t.co/3UNLqGMyHV"
2022-05-12 22:48:15+00:00,partidoverdemex,"Practicar el #ConsumoLocal tiene más beneficios de los que imaginas. 

Dar preferencia a productos elaborados y distribuidos en tu región ayuda a proteger el medio ambiente.

#SerVerdeEs adoptar prácticas sustentables. https://t.co/rNatxj9awz"
2022-05-12 00:01:04+00:00,partidoverdemex,"Exigimos para Tamaulipas una elección libre de intimidaciones por parte del Estado: @karencastrejont #JuegoLimpio 

https://t.co/4UV70KJx1w"
2022-05-11 01:44:41+00:00,partidoverdemex,"¡Feliz cumpleaños Dip. @YamileSalomonD! 🎉

Sigamos caminando hacia un mejor país. ¡Enhorabuena! https://t.co/kplZ5qnJum"
2022-05-10 16:37:34+00:00,partidoverdemex,"¿Y tú qué piensas al escuchar la palabra Mamá? 🤰

Nosotros sólo podemos pensar en todo el amor, esfuerzo, dedicación y fortaleza para sacar adelante a sus familias. 

Nuestro respeto y reconocimiento a todas las mamás mexicanas, hoy en su día. 

#10deMayo #FelizDíaDeLasMadres https://t.co/4icQljbnbH"
2022-05-10 00:00:02+00:00,partidoverdemex,"Estas son las #3DelVerde en el Senado #LoDestacadoDeLaSemana por parte de nuestros legisladores, sobre:

Deporte 🏐
Desarrollo 🇲🇽
Salud 🧩

@VerdeSenadoMex @alelagunes @IsraelZamora_ https://t.co/ersvKS5ray"
